3,16,76.859077,0.000062,76.858918,75.818216
6,16,77.513312,0.477040,77.036184,76.067916
10,16,77.702141,0.057315,77.644726,76.912947
13,16,77.685484,0.041767,77.643578,74.162618
4,16,77.268925,0.000063,77.268780,74.247797
11,16,77.912964,0.013077,77.899784,77.146154
8,16,77.977901,0.056269,77.921547,76.625073
2,16,77.989486,0.049823,77.939569,76.850334
15,16,77.976039,0.072265,77.903677,77.070720
1,16,77.994324,0.511913,77.482334,76.342270
12,16,77.959451,0.016539,77.942814,76.591504
7,16,78.314964,0.549921,77.764920,76.078996
9,16,78.722235,0.062872,78.659257,75.876837
14,16,78.944229,0.070145,78.873979,76.736234
5,16,78.982631,0.062862,78.919650,77.764041
0,16,79.029120,0.000264,78.926424,75.044558
