5,32,19.308937,0.051143,19.257638,15.930524
6,32,19.308774,0.050977,19.257604,15.939610
10,32,19.308055,0.051012,19.256853,16.073577
8,32,19.310664,0.051002,19.259516,15.902179
18,32,19.311620,0.051060,19.260243,15.966683
20,32,19.312437,0.051014,19.261177,15.957291
22,32,19.311428,0.051116,19.259897,16.678469
7,32,19.313825,0.051192,19.262509,16.511932
15,32,19.315409,0.051344,19.263933,15.891865
16,32,19.315395,0.051392,19.263856,16.661475
9,32,19.319842,0.051120,19.268537,15.919233
11,32,19.320631,0.050947,19.269372,16.329194
12,32,19.318026,0.051315,19.266577,16.652286
14,32,19.319424,0.050896,19.267983,15.925765
31,32,19.321305,0.102118,19.219025,15.892592
29,32,19.321724,0.102318,19.219252,16.546676
1,32,19.321716,0.051228,19.270354,16.639749
25,32,19.324745,0.051090,19.273413,16.440468
27,32,19.325243,0.102033,19.223044,15.901602
19,32,19.326716,0.051427,19.275176,16.700793
13,32,19.333131,0.051125,19.281756,16.007195
23,32,19.334141,0.051514,19.282527,16.648657
2,32,19.339769,0.051071,19.288470,15.928484
3,32,19.339641,0.050974,19.288476,15.923365
4,32,19.339279,0.051152,19.287968,15.917456
17,32,19.339002,0.051139,19.287727,16.548088
21,32,19.339860,0.051273,19.288367,15.922324
24,32,19.337247,0.051048,19.285881,16.252501
26,32,19.339747,0.051268,19.288324,15.750454
28,32,19.339946,0.102310,19.237547,16.594906
30,32,19.339363,0.102235,19.236974,15.911097
0,32,19.358125,0.051235,19.237995,10.759596
